Rank,Score,Firm Name,Website,AUM ($M),Fund Types,# Funds,City,State,Country,CRD#,SEC#,Key Signals
147,54,ALINOR CAPITAL MANAGEMENT LLP,http://alinorcapital.com,761.9,Hedge(1),1,LONDON,,United Kingdom,329691,802-129778,hedge_fund_pure_equity_signal; aum_500m+; concentrated_few_funds; name_strategy:capital management; clean_regulatory
148,54,ION ASSET MANAGEMENT LTD.,https://www.ion-am.com/,869.6,Hedge(2),2,HERZLIYA,,Israel,233786,802-122005,hedge_fund_pure_equity_signal; aum_500m+; concentrated_few_funds; name_strategy:asset management; clean_regulatory
149,54,LONG CORRIDOR ASSET MANAGEMENT LIMITED,https://hk.linkedin.com/company/longcorridor,844.4,Hedge(1),1,CENTRAL,,Hong Kong,305305,802-117327,hedge_fund_pure_equity_signal; aum_500m+; concentrated_few_funds; name_strategy:asset management; clean_regulatory
150,54,ANATOLE INVESTMENT MANAGEMENT LIMITED,https://www.anatole-inv.com/,908.2,Hedge(3),3,CENTRAL,,Hong Kong,306995,802-118027,hedge_fund_pure_equity_signal; aum_500m+; concentrated_few_funds; name_strategy:investment management; clean_regulatory
151,54,VARECS PARTNERS LIMITED,HTTP://WWW.VARECS.COM/EN/HOME/,516.3,Hedge(3),3,"CHUO-KU, TOKYO",,Japan,314399,802-121236,hedge_fund_pure_equity_signal; aum_500m+; concentrated_few_funds; name_strategy:partners; clean_regulatory
152,53,"EXPLORE CAPITAL MANAGEMENT, LLC",https://www.linkedin.com/company/explorecapital/,114.2,Hedge(2),2,DALLAS,TX,United States,324458,802-132691,hedge_fund_pure_equity_signal; aum_100m+; concentrated_few_funds; name_strategy:capital management; us_based
153,53,"SIMPLEX ASSET MANAGEMENT CO., LTD.",http://www.simplexasset.com/,1483.6,Hedge(6),6,TOKYO,,Japan,166680,802-77621,hedge_fund_pure_equity_signal; aum_1b+; moderate_fund_count; name_strategy:asset management; clean_regulatory
154,53,"IN-DEPTH PARTNERS, LLC",http://www.in-depthpartners.com,124.9,Hedge(2),2,MIAMI BEACH,FL,United States,311454,802-133735,hedge_fund_pure_equity_signal; aum_100m+; concentrated_few_funds; name_strategy:partners; us_based
155,53,SUMO INVESTMENT MANAGEMENT LLC,https://sumo.co/,100.0,Hedge(1),1,CHICAGO,IL,United States,328651,802-130976,hedge_fund_pure_equity_signal; aum_100m+; concentrated_few_funds; name_strategy:investment management; us_based
156,53,GRAPHENE CAPITAL MANAGEMENT LP,https://www.graphenelp.com,113.0,Hedge(1),1,NEW YORK,NY,United States,330557,802-130621,hedge_fund_pure_equity_signal; aum_100m+; concentrated_few_funds; name_strategy:capital management; us_based
157,53,INFLECTION POINT ASSET MANAGEMENT LLC,https://inflectionpointacquisition.com/,120.0,Hedge(1),1,MIAMI BEACH,FL,United States,340616,802-135401,hedge_fund_pure_equity_signal; aum_100m+; concentrated_few_funds; name_strategy:asset management; us_based
158,53,GTS ASSET MANAGEMENT LP,https://gtsx.com/,65.4,"Hedge(1), Other(1)",2,NEW YORK,NY,United States,310806,802-130671,hedge_fund_pure_equity_signal; other_fund_type; concentrated_few_funds; name_strategy:asset management; us_based
159,53,PARATAXIS CAPITAL MANAGEMENT LLC,https://www.linkedin.com/company/parataxiscap,232.9,"Hedge(3), Other(2)",5,NEW YORK,NY,United States,313241,802-121151,hedge_fund_pure_equity_signal; other_fund_type; aum_100m+; moderate_fund_count; name_strategy:capital management
160,53,"TEGEAN CAPITAL MANAGEMENT, LLC",HTTP://WWW.TEGEAN.COM,129.7,Hedge(1),1,NEW YORK,NY,United States,156764,802-132792,hedge_fund_pure_equity_signal; aum_100m+; concentrated_few_funds; name_strategy:capital management; us_based
161,53,SQUADRON CAPITAL MANAGEMENT LLC,https://www.squadroncap.com/,117.0,Hedge(2),2,WESTMONT,IL,United States,334296,802-131836,hedge_fund_pure_equity_signal; aum_100m+; concentrated_few_funds; name_strategy:capital management; us_based
162,53,NORTHLIGHT GROUP LLP,HTTP://WWW.NORTHLIGHT.CO.UK/,224.4,"Hedge(1), Other(1)",2,LONDON,,United Kingdom,283883,802-122999,hedge_fund_pure_equity_signal; other_fund_type; aum_100m+; concentrated_few_funds; clean_regulatory
163,53,STARFORT CAPITAL MANAGEMENT LLC,HTTP://WWW.STARFORTCAP.COM,104.4,Hedge(2),2,BURBANK,CA,United States,281765,802-129026,hedge_fund_pure_equity_signal; aum_100m+; concentrated_few_funds; name_strategy:capital management; us_based
164,53,QUBE RESEARCH & TECHNOLOGIES LIMITED,https://www.qube-rt.com,425667.6,Hedge(6),6,LONDON,,United Kingdom,304552,802-116999,hedge_fund_pure_equity_signal; aum_5b+; moderate_fund_count; clean_regulatory
165,53,COMMONWEALTH ASSET MANAGEMENT LP,https://www.linkedin.com/company/commonwealth-asset-management-lp/mycompany/,140.7,Hedge(1),1,LOS ANGELES,CA,United States,306098,802-131065,hedge_fund_pure_equity_signal; aum_100m+; concentrated_few_funds; name_strategy:asset management; us_based
166,53,CAXTON ASSOCIATES LLP,HTTPS://WWW.CAXTON.COM,44885.5,Hedge(4),4,LONDON,,United Kingdom,333153,802-131979,hedge_fund_pure_equity_signal; aum_5b+; moderate_fund_count; clean_regulatory
167,53,"BLACK OAK CAPITAL MANAGEMENT, LLC",HTTPS://BLACKOAKCAP.COM,149.0,Hedge(1),1,WESTPORT,CT,United States,286481,802-109957,hedge_fund_pure_equity_signal; aum_100m+; concentrated_few_funds; name_strategy:capital management; us_based
